Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-920000,-1104000
Acquisitions net,-3300,-2300
Purchases of investments,-,-6300
Net cash used for investing activites,-322800,-279800
Debt repayment,-10745600,-12477600
Common stock repurchased,1299200,757200
Dividends Paid,-474400,-320400
Other financing activites,-,-538000
Net cash used privided by (used for) financing activities,-1188200,-1611200
Net change in cash,74400,384400
Cash at beginning of period,484000,556000
Cash at end of period,558400,940400
Capital Expenditure,-920000,-1104000
Free Cash Flow,665400,1171400
