Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-5353,-5353
Other investing activites,-152102,-152102
Net cash used for investing activites,-157455,-157455
Debt repayment,-61051,-61051
Common stock issued,59663,59663
Common stock repurchased,-1718,-1718
Net cash used privided by (used for) financing activities,176035,176035
Net change in cash,35442,35442
Cash at beginning of period,34397,34397
Cash at end of period,69839,69839
Capital Expenditure,-5353,-5353
Free Cash Flow,11509,11509
