Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-24840,-24840,-15927,-23885,-16118
Acquisitions net,-11804,-11804,-424,-30579,-15979
Purchases of investments,-,-,-,-288,-
Net cash used for investing activites,-36644,-36644,-16318,-54752,-32097
Debt repayment,-22625,-22625,-29500,-2000,-38000
Common stock issued,1783,1783,1663,2809,61125
Dividends Paid,-44742,-44742,-32619,-32561,-23616
Other financing activites,-,-,184,256,312
Net cash used privided by (used for) financing activities,-30459,-30459,-60272,10504,1877
Net change in cash,-1416,-1416,-6522,1171,14137
Cash at beginning of period,38772,38772,45682,44573,29990
Cash at end of period,36698,36698,38772,45682,44573
Capital Expenditure,-24840,-24840,-15927,-23885,-16118
Free Cash Flow,40847,40847,54141,21534,28239
