Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,131973,205154,185883,142926
Depreciation & amortization,75297,49674,36883,26015
Stock based compensation,1198,954,615,254
Change in working capital,-54834,-52276,-39379,-22795
Inventory,-169161,-40947,-79099,-99662
Other working capital,82136,105869,83367,127158
Other non-cash items,20609,15725,12198,22273
Net cash provided by operating activites,228294,212175,197997,179114
Investments in property plant and equipment,-146158,-106306,-114630,-51956
Acquisitions net,-77079,-77079,-106436,-2374
Sales/Maturities of investments,-,-,310,-
Other investing activites,-,-,-,0
Net cash used for investing activites,-219049,-181883,-218871,-52651
Net change in cash,4421,-4148,-70847,64403
Cash at beginning of period,57589,84704,155551,91148
Cash at end of period,62010,80556,84704,155551
Operating Cash Flow,228294,212175,197997,179114
Capital Expenditure,-146158,-106306,-114630,-51956
Free Cash Flow,82136,105869,83367,127158
