Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,19080000,17670000,18314000,16114000
Depreciation & amortization,-,4378000,3625000,3856000
Change in working capital,-,-166437000,-121028000,63645000
Other working capital,-,-196892000,-109240000,67446000
Other non-cash items,-,-106393000,-89359000,-78865000
Net cash provided by operating activites,-,-194364000,-105188000,71377000
Investments in property plant and equipment,-,-2528000,-4052000,-3931000
Purchases of investments,-,-344105000,-371459000,-414823000
Sales/Maturities of investments,-,547265000,484114000,575739000
Other investing activites,-,-28000,-55000,-14000
Net cash used for investing activites,-,200773000,108678000,157017000
Net change in cash,-,3047000,120000,219081000
Cash at beginning of period,-,701935000,701814000,482733000
Cash at end of period,-,704983000,701935000,701814000
Operating Cash Flow,-,-194364000,-105188000,71377000
Capital Expenditure,-,-2528000,-4052000,-3931000
Free Cash Flow,-,-196892000,-109240000,67446000
