Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,40771,40771,37837,29832,29260
Interest Expense,9303,9303,8603,7630,8561
Income Before Tax,11610,11610,11546,7840,5526
Income Tax Expense,3236,3236,2977,5022,-10014
Income from Continuing Operations,8374,8374,8569,2818,15540
Net Income,8374,8374,8569,2818,15540
Net Income available to common shareholders,8374,8374,8499,2538,13829
Basic EPS,-,-,0.68,0.21,1.20
Diluted EPS,-,-,0.67,0.21,1.19
Basic Average Shares,-,-,12586,12167,11522
Diluted Average Shares,-,-,12698,12281,11575
