Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1634,-1894,-1481,-1261,-1970
Net cash used for investing activites,-61656,-1894,-1481,-1261,-1970
Debt repayment,-213307,-229328,-149288,-46827,-20956
Common stock issued,-,137342,-,-,-
Dividends Paid,-37059,-34474,-29574,-25472,-16598
Net cash used privided by (used for) financing activities,85339,11670,-12543,42029,60684
Net change in cash,8131,6693,9910,3564,-3759
Cash at beginning of period,11067,16016,6106,2542,6301
Cash at end of period,19198,22709,16016,6106,2542
Capital Expenditure,-1634,-1894,-1481,-1261,-1970
Free Cash Flow,-17186,-4977,22453,-38465,-64443
