Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-14726,-14805,-8251,-8151,-9733
Purchases of investments,-,-1900,-,-,-
Sales/Maturities of investments,-,1900,-,-,-
Other investing activites,8994,524.104,-9338,-1500,-
Net cash used for investing activites,-6341,-14109,-17567,-9649,-9733
Debt repayment,-224.972,-96.97,-4445,-52.733,-68.012
Common stock issued,-,-,40035,3000,18700
Common stock repurchased,-,-,-580.618,-200.997,-745.875
Net cash used privided by (used for) financing activities,8477,31.557,35039,2789,17948
Net change in cash,832.758,-14617,13871,-7423,6286
Cash at beginning of period,620.977,14970,1068,8637,2426
Cash at end of period,1454,491.413,14970,1068,8637
Capital Expenditure,-14726,-14805,-8251,-8151,-9733
Free Cash Flow,-16029,-15344,-11852,-8714,-11662
