Breakdown,ttm,12/31/2019,12/31/2018,9/30/2018,12/31/2017,12/31/2016
Total Revenue,101788,101788,93375,-,93707,99620
Interest Expense,5641,5641,2969,-,2430,2561
Income Before Tax,26125,26125,24075,-,23799,21042
Income Tax Expense,5434,5434,4071,-,10321,6052
Income from Continuing Operations,20691,20691,20004,-,13478,14990
Net Income,20691,20691,20004,-,13151,14411
Net Income available to common shareholders,20691,20691,20004,-,13151,14411
Basic EPS,-,-,2.91,2.21,1.91,2.09
Diluted EPS,-,-,2.86,2.17,1.88,2.06
Basic Average Shares,-,-,6878,6874,6890,6884
Diluted Average Shares,-,-,6982,6979,6978,6975
