Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,16664000,23637000,24522000,11255000
Depreciation & amortization,-,262286000,255240000,250962000
Change in working capital,-,58467000,96054000,-44083000
Inventory,-,837000,-9768000,-13825000
Other working capital,-,469874000,463911000,294893000
Other non-cash items,-,37273000,12543000,10013000
Net cash provided by operating activites,-,469874000,463911000,294893000
Acquisitions net,-,-932076000,-347037000,-339487000
Purchases of investments,-,-27414000,-7228000,-9797000
Sales/Maturities of investments,-,695399000,316593000,403321000
Other investing activites,-,-398325000,-390182000,-321747000
Net cash used for investing activites,-,-662416000,-427854000,-267710000
Net change in cash,-,-55533000,68425000,101588000
Cash at beginning of period,-,870013000,802099000,700511000
Cash at end of period,-,814479000,870013000,802099000
Operating Cash Flow,-,469874000,463911000,294893000
Free Cash Flow,-,469874000,463911000,294893000
