Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,69131,68437,60337,57521,47153
Interest Expense,19886,19509,12584,10096,7855
Income Before Tax,19949,19615,23197,20138,11723
Income Tax Expense,6082,5731,7031,7799,4104
Income from Continuing Operations,13867,13884,16166,12339,7619
Net Income,13867,13884,16166,12339,7619
Net Income available to common shareholders,13867,13884,16166,12339,7619
Basic EPS,-,1.54,1.81,1.39,0.80
Diluted EPS,-,1.52,1.77,1.38,0.80
Basic Average Shares,-,9033,8907,8898,9475
Diluted Average Shares,-,9156,9129,8953,9485
