Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-23681,-25182
Acquisitions net,-,-153349
Other investing activites,152451,-7631
Net cash used for investing activites,10312,-165620
Debt repayment,-91449,-49000
Common stock issued,9018,89757
Common stock repurchased,-,-3724
Dividends Paid,-47613,-44484
Net cash used privided by (used for) financing activities,-20240,111549
Net change in cash,8066,-18074
Cash at beginning of period,21572,35055
Cash at end of period,29638,16981
Capital Expenditure,-23681,-25182
Free Cash Flow,-5687,10815
