Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,175886,175886,169383,138025,285827
Depreciation & amortization,-,-,141898,134356,130988
Change in working capital,-,-,71842,11915,-117677
Inventory,-,-,-10197,-8184,-27703
Other working capital,-,-,100363,199615,200823
Other non-cash items,-,-,21730,21591,22896
Net cash provided by operating activites,-,-,315455,246892,208554
Investments in property plant and equipment,-,-,-215092,-47277,-7731
Acquisitions net,-,-,-144145,-28513,-13335
Purchases of investments,-,-,-965470,-1094231,-
Sales/Maturities of investments,-,-,975951,1089289,-
Other investing activites,-,-,-6363,1746,-74825
Net cash used for investing activites,-,-,23253,62614,73735
Net change in cash,-,-,58775,48418,-87291
Cash at beginning of period,-,-,292511,199694,299771
Cash at end of period,-,-,335611,292511,199694
Operating Cash Flow,-,-,315455,246892,208554
Capital Expenditure,-,-,-215092,-47277,-7731
Free Cash Flow,-,-,100363,199615,200823
