Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,481585,537734,496696
Liabilities,,,
Total Liabilities,31622,30827,31441
Stockholders' Equity,,,
Common Stock,22574,22574,23682
Total stockholders' equity,449963,506907,465255
Total liabilities and stockholders' equity,481585,537734,496696
