Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,832230,489253,842121,707592
Depreciation & amortization,-,104913,115024,109799
Change in working capital,-,-1607959,129660,-1096408
Inventory,-,-1584035,48106,-1140058
Other working capital,-,-1213700,1235186,-489623
Other non-cash items,-,163174,205177,199220
Net cash provided by operating activites,-,-1187717,1260082,-466006
Investments in property plant and equipment,-,-25983,-24896,-23617
Purchases of investments,-,-390980,-,-
Sales/Maturities of investments,-,390255,-,1000
Other investing activites,-,-12080,2191,67984
Net cash used for investing activites,-,-38788,-13190,59460
Net change in cash,-,-914653,693447,739419
Cash at beginning of period,-,3907825,3214378,2474958
Cash at end of period,-,2993172,3907825,3214378
Operating Cash Flow,-,-1187717,1260082,-466006
Capital Expenditure,-,-25983,-24896,-23617
Free Cash Flow,-,-1213700,1235186,-489623
