Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,633057,633057,409015,345915,296100
Interest Expense,76144,76144,46499,33455,22833
Income Before Tax,194370,194370,170798,108490,97154
Income Tax Expense,46452,46452,36055,58246,33074
Income from Continuing Operations,147918,147918,134743,50244,64080
Net Income,148809,148809,134743,50244,64080
Net Income available to common shareholders,148809,148809,134743,50244,64080
Basic EPS,-,-,4.29,1.60,2.04
Diluted EPS,-,-,4.19,1.56,2.04
Basic Average Shares,-,-,31374,31418,31390
Diluted Average Shares,-,-,32168,32303,31390
