Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-8.569,-9.411,-177.62,-1330
Acquisitions net,-,-,-,-100,-158.011
Net cash used for investing activites,-,-8.569,-9.411,-277.62,-1488
Common stock issued,8052,5189,-,-,6964
Net cash used privided by (used for) financing activities,8315,6089,1000,-,6964
Net change in cash,3927,2496,-2656,-3631,3141
Cash at beginning of period,519.186,277.16,2933,6564,3423
Cash at end of period,4446,2773,277.16,2933,6564
Capital Expenditure,-,-8.569,-9.411,-177.62,-1330
Free Cash Flow,-4388,-3593,-3656,-3531,-3665
