Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,894000,234000,319000,1134000
Depreciation & amortization,-,1167000,1228000,1237000
Change in working capital,-,1353000,-2049000,1510000
Inventory,-,-358000,902000,-610000
Other working capital,-,2352000,-1810000,2194000
Other non-cash items,-,238000,-57000,-11000
Net cash provided by operating activites,-,3257000,-1041000,3363000
Investments in property plant and equipment,-,-905000,-769000,-1169000
Acquisitions net,-,-398000,-671000,-
Purchases of investments,-,-354000,-2041000,-4038000
Sales/Maturities of investments,-,838000,4899000,2970000
Other investing activites,-,-93000,47000,-3000
Net cash used for investing activites,-,-810000,1470000,-2186000
Net change in cash,-,1948000,-1430000,904000
Cash at beginning of period,-,5278000,6708000,5803000
Cash at end of period,-,7226000,5278000,6708000
Operating Cash Flow,-,3257000,-1041000,3363000
Capital Expenditure,-,-905000,-769000,-1169000
Free Cash Flow,-,2352000,-1810000,2194000
