Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-51.146,-9.19,-19.149
Purchases of investments,-,-,-2.49,-58.21,-
Other investing activites,-,4.68,-,-,-
Net cash used for investing activites,-,4.68,-53.636,-67.4,-19.149
Debt repayment,-,-,-200,-,-
Common stock issued,-,94.675,2162,2852,47.5
Common stock repurchased,-,-18.68,-47.298,-101.701,-
Net cash used privided by (used for) financing activities,659.627,725.995,2114,2751,47.5
Net change in cash,-291.035,-17.438,-152.644,-691.524,-3952
Cash at beginning of period,318.052,62.365,215.009,906.533,4859
Cash at end of period,27.017,44.927,62.365,215.009,906.533
Capital Expenditure,-,-,-51.146,-9.19,-19.149
Free Cash Flow,-1011,-748.113,-2265,-3384,-4000
