Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1814000,1814000,1527000,2130000,2194000
Depreciation & amortization,256000,256000,256000,262000,265000
Change in working capital,396000,396000,-2939000,-2099000,9567000
Inventory,410000,410000,-890000,-442000,2773000
Other working capital,2666000,2666000,-1203000,-275000,4168000
Other non-cash items,432000,432000,299000,-209000,-360000
Net cash provided by operating activites,2797000,2797000,-1080000,-153000,4305000
Investments in property plant and equipment,-131000,-131000,-123000,-122000,-137000
Acquisitions net,-,-,-,-1000,-
Purchases of investments,-42000,-42000,-110000,-6000,-121000
Sales/Maturities of investments,795000,795000,1001000,1685000,-
Other investing activites,-57000,-57000,-49000,20000,-150000
Net cash used for investing activites,544000,544000,1072000,1598000,-7000
Net change in cash,2081000,2081000,-168000,-1103000,659000
Cash at beginning of period,4854000,4854000,5023000,6144000,5382000
Cash at end of period,6936000,6936000,4854000,5023000,6144000
Operating Cash Flow,2797000,2797000,-1080000,-153000,4305000
Capital Expenditure,-131000,-131000,-123000,-122000,-137000
Free Cash Flow,2666000,2666000,-1203000,-275000,4168000
