Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2644845,3696202,3617661,4390287
Depreciation & amortization,-,451923,400179,354569
Change in working capital,-,-5885929,895710,-1562640
Inventory,-,-111059,-594402,1876135
Other working capital,-,-3096895,4675252,579618
Other non-cash items,-,-64962,-336102,47856
Net cash provided by operating activites,-,-1953809,4951652,2957595
Investments in property plant and equipment,-,-1143086,-276400,-2377977
Purchases of investments,-,-1025366,-2256618,-
Sales/Maturities of investments,-,0,1018979,-
Other investing activites,-,-,-12004,47996
Net cash used for investing activites,-,-1808465,-1749602,-2199464
Net change in cash,-,-4538328,2458077,202986
Cash at beginning of period,-,27612129,25154052,24951065
Cash at end of period,-,23073801,27612129,25154052
Operating Cash Flow,-,-1953809,4951652,2957595
Capital Expenditure,-,-1143086,-276400,-2377977
Free Cash Flow,-,-3096895,4675252,579618
