Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,816106,560231,546472,551209
Depreciation & amortization,-,354050,493975,393737
Change in working capital,-,-124158,-160331,718446
Inventory,-,14340,235024,-55832
Other working capital,-,422917,696822,1021054
Other non-cash items,-,59460,133815,-118900
Net cash provided by operating activites,-,682900,1105646,1529278
Investments in property plant and equipment,-,-259983,-408824,-508224
Purchases of investments,-,-2802671,-2345,-102293
Sales/Maturities of investments,-,3200000,-,-
Other investing activites,-,2600,-97809,-248128
Net cash used for investing activites,-,139946,-508978,-858645
Net change in cash,-,651939,482270,559782
Cash at beginning of period,-,3793326,3311055,2751273
Cash at end of period,-,4445266,3793326,3311055
Operating Cash Flow,-,682900,1105646,1529278
Capital Expenditure,-,-259983,-408824,-508224
Free Cash Flow,-,422917,696822,1021054
