Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-73027,-78370,180211,352271
Depreciation & amortization,-,354603,323228,333005
Change in working capital,-,52858,82991,-56345
Inventory,-,-12476,2694,-32819
Other working capital,-,-26902,-86750,390383
Other non-cash items,-,-1443,-11747,-57860
Net cash provided by operating activites,-,281998,461510,660495
Investments in property plant and equipment,-,-308900,-548260,-270112
Acquisitions net,-,-4871,-9031,-
Purchases of investments,-,-,-,-8373
Other investing activites,-,-6859,577,-7
Net cash used for investing activites,-,-319183,-556714,-284192
Net change in cash,-,-161151,-220259,248539
Cash at beginning of period,-,1296648,1516908,1268368
Cash at end of period,-,1135496,1296648,1516908
Operating Cash Flow,-,281998,461510,660495
Capital Expenditure,-,-308900,-548260,-270112
Free Cash Flow,-,-26902,-86750,390383
