Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,330713,318092,362742,341444
Depreciation & amortization,-,251782,234995,196040
Change in working capital,-,-59129,27469,68677
Inventory,-,-884,-4657,10045
Other working capital,-,90939,18155,-71388
Other non-cash items,-,-4186,-38851,-4326
Net cash provided by operating activites,-,519495,567233,671780
Investments in property plant and equipment,-,-428556,-549078,-743168
Other investing activites,-,-3849,-7889,-26897
Net cash used for investing activites,-,-422384,-523401,-764827
Net change in cash,-,87509,137804,88349
Cash at beginning of period,-,513093,375289,286940
Cash at end of period,-,600603,513093,375289
Operating Cash Flow,-,519495,567233,671780
Capital Expenditure,-,-428556,-549078,-743168
Free Cash Flow,-,90939,18155,-71388
