Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,13503000,12358000,11830000,11010000
Depreciation & amortization,-,10172000,9248000,8160000
Change in working capital,-,-8855000,-17073000,-2216000
Inventory,-,7982000,-8553000,-9443000
Other working capital,-,-1681000,-16683000,10244000
Other non-cash items,-,4605000,4372000,6159000
Net cash provided by operating activites,-,16674000,8456000,26249000
Investments in property plant and equipment,-,-18355000,-25139000,-16005000
Acquisitions net,-,-4000,-1413000,-5628000
Purchases of investments,-,-12645000,-11651000,-22328000
Sales/Maturities of investments,-,32603000,31664000,42322000
Other investing activites,-,-3675000,798000,5685000
Net cash used for investing activites,-,-2057000,-7282000,3881000
Net change in cash,-,-8573000,-7962000,14561000
Cash at beginning of period,-,32469000,40365000,25476000
Cash at end of period,-,23895000,32469000,40365000
Operating Cash Flow,-,16674000,8456000,26249000
Capital Expenditure,-,-18355000,-25139000,-16005000
Free Cash Flow,-,-1681000,-16683000,10244000
