Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,5325338,4685489,4041162
Liabilities,,,
Total Liabilities,4834794,4246118,3697094
Stockholders' Equity,,,
Common Stock,315,318,6981
Retained Earnings,181132,142231,99506
Accumulated other comprehensive income,3225,-11990,-6324
Total stockholders' equity,490410,439237,343934
Total liabilities and stockholders' equity,5325338,4685489,4041162
