Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,21399924,16062932,10923885,4517483
Liabilities,,,,
Total Liabilities,18851371,14962653,11156786,4707702
Stockholders' Equity,,,,
Common Stock,78,61,31,31
Retained Earnings,16739,-148925,-230879,-187331
Accumulated other comprehensive income,-4446,-1299,-2053,-5419
Total stockholders' equity,2548553,1100279,-232901,-190219
Total liabilities and stockholders' equity,21399924,16062932,10923885,4517483
