Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,70150,70150,98621,93902,120681
Depreciation & amortization,-,-,41240,39725,30480
Change in working capital,-,-,-23686,5589,-3652
Inventory,-,-,-1687,-522,-775
Other working capital,-,-,27815,132037,80097
Other non-cash items,-,-,22953,-6519,-16928
Net cash provided by operating activites,-,-,115095,164464,133133
Investments in property plant and equipment,-,-,-87280,-32427,-53036
Acquisitions net,-,-,-53000,-35812,-97981
Purchases of investments,-,-,-852553,-625844,-302000
Sales/Maturities of investments,-,-,644002,693154,190000
Other investing activites,-,-,-,37220,-11147
Net cash used for investing activites,-,-,-383972,49787,-265122
Net change in cash,-,-,-162452,181328,-52163
Cash at beginning of period,-,-,569991,400359,445389
Cash at end of period,-,-,413374,569991,400359
Operating Cash Flow,-,-,115095,164464,133133
Capital Expenditure,-,-,-87280,-32427,-53036
Free Cash Flow,-,-,27815,132037,80097
