Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2447,-2447,-11642,-1306,-1520
Purchases of investments,-2330133,-2330133,-3848337,-1276963,-896886
Sales/Maturities of investments,2421871,2421871,4115849,1398475,1277648
Net cash used for investing activites,90237,90237,255870,120206,379242
Debt repayment,-3527,-3527,-,-,-49619
Common stock repurchased,-63904,-63904,-149067,-50883,-202436
Dividends Paid,-266633,-266633,-110621,-142622,-249894
Net cash used privided by (used for) financing activities,-334064,-334064,-259688,-193505,-501949
Net change in cash,-52009,-52009,97637,-14609,-20480
Cash at beginning of period,141450,141450,43025,57634,78114
Cash at end of period,87254,87254,141450,43025,57634
Capital Expenditure,-2447,-2447,-11642,-1306,-1520
Free Cash Flow,189371,189371,89813,57384,100707
