Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2194993,2344606,2072227,2003211
Depreciation & amortization,-,693112,704771,746109
Change in working capital,-,34763,137634,-1604177
Inventory,-,-278329,-66187,-41668
Other working capital,-,2238758,2282100,636583
Other non-cash items,-,-,-5060,-37417
Net cash provided by operating activites,-,2941919,3011474,946111
Investments in property plant and equipment,-,-703161,-729374,-309528
Purchases of investments,-,-343217,-37794,-37513
Sales/Maturities of investments,-,381750,135405,0
Other investing activites,-,-,-1201,-1203
Net cash used for investing activites,-,-605749,-638225,-345271
Net change in cash,-,1628685,1637140,-210058
Cash at beginning of period,-,9297756,7660615,7870674
Cash at end of period,-,10926441,9297756,7660615
Operating Cash Flow,-,2941919,3011474,946111
Capital Expenditure,-,-703161,-729374,-309528
Free Cash Flow,-,2238758,2282100,636583
