Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2539249,2485680,2424841,2410402
Liabilities,,,,
Total Liabilities,2336608,2288562,2240904,2224184
Stockholders' Equity,,,,
Common Stock,71257,70273,71582,77128
Retained Earnings,139805,134399,119537,115772
Accumulated other comprehensive income,-8421,-7554,-7182,-6682
Total stockholders' equity,202641,197118,183937,186218
Total liabilities and stockholders' equity,2539249,2485680,2424841,2410402
