Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1160207,421727,1203664,864493
Depreciation & amortization,-,3458,1968,3397
Change in working capital,-,-1874847,-2425821,-1503945
Inventory,-,-1798684,-2057555,-920731
Other working capital,-,-1472044,-826834,-699073
Other non-cash items,-,20127,114146,173578
Net cash provided by operating activites,-,-1472044,-826834,-699073
Other investing activites,-,537879,-547845,-109647
Net cash used for investing activites,-,537879,-547845,40513
Net change in cash,-,-158166,-733500,1197478
Cash at beginning of period,-,947235,1680736,483257
Cash at end of period,-,789069,947235,1680736
Operating Cash Flow,-,-1472044,-826834,-699073
Free Cash Flow,-,-1472044,-826834,-699073
