Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,90999000,43456000,43231000,39929000
Liabilities,,,,
Total Liabilities,85978000,40270000,39829000,36718000
Stockholders' Equity,,,,
Common Stock,146000,89000,88000,88000
Retained Earnings,2661000,2873000,3055000,2779000
Total stockholders' equity,5021000,3186000,3402000,3211000
Total liabilities and stockholders' equity,90999000,43456000,43231000,39929000
