Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-506135,-647341,-116053,-1209390
Depreciation & amortization,-,79610,98453,96643
Change in working capital,-,-12798,-187388,121199
Inventory,-,-69971,-152748,-32670
Other working capital,-,-507396,-517567,-981590
Other non-cash items,-,675667,377752,888999
Net cash provided by operating activites,-,-349252,-377816,-957074
Investments in property plant and equipment,-,-158144,-139751,-24516
Purchases of investments,-,-1300000,-,-137
Sales/Maturities of investments,-,1300000,322244,572728
Other investing activites,-,-3862,40249,-1891
Net cash used for investing activites,-,-143289,241350,554606
Net change in cash,-,-86232,-165299,-184196
Cash at beginning of period,-,374192,577495,761692
Cash at end of period,-,306514,412196,577495
Operating Cash Flow,-,-349252,-377816,-957074
Capital Expenditure,-,-158144,-139751,-24516
Free Cash Flow,-,-507396,-517567,-981590
