Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,3147340,3147340,2420839,602377,133562
Depreciation & amortization,-,-,871419,891129,876353
Change in working capital,-,-,-1071067,-879799,337510
Inventory,-,-,1267,40312,-27037
Other working capital,-,-,2752601,1031040,1476756
Other non-cash items,-,-,209459,271151,212063
Net cash provided by operating activites,-,-,2907864,1168871,1665730
Investments in property plant and equipment,-,-,-155263,-137831,-188974
Other investing activites,-,-,31081,26144,5380
Net cash used for investing activites,-,-,-71225,-137551,-173144
Net change in cash,-,-,4068444,406827,-571830
Cash at beginning of period,-,-,940247,533420,1105250
Cash at end of period,-,-,5008691,940247,533420
Operating Cash Flow,-,-,2907864,1168871,1665730
Capital Expenditure,-,-,-155263,-137831,-188974
Free Cash Flow,-,-,2752601,1031040,1476756
