Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,957000,900000,2458000,1388000,346683
Depreciation & amortization,2240000,2240000,1991000,1940000,1717461
Change in working capital,-1352000,-1352000,-1350000,1951000,-1283976
Inventory,-175000,-175000,-1790000,691000,-981054
Other working capital,-2697000,-2697000,-1222000,425000,-3065868
Other non-cash items,-501000,-501000,857000,-492000,292949
Net cash provided by operating activites,1104000,1104000,2726000,4979000,1235820
Investments in property plant and equipment,-3801000,-3801000,-3948000,-4554000,-4301688
Acquisitions net,-75000,-75000,-,-,-
Purchases of investments,-742000,-742000,-2889000,-174000,-16596
Sales/Maturities of investments,2355000,2355000,831000,137000,971
Other investing activites,60000,60000,153000,119000,18822
Net cash used for investing activites,-2139000,-2139000,-1312000,-4185000,-4252812
Net change in cash,-1274000,-1274000,-781000,2152000,-1704334
Cash at beginning of period,7206000,7206000,7987000,5834000,7539206
Cash at end of period,5931000,5931000,7206000,7987000,5834871
Operating Cash Flow,1104000,1104000,2726000,4979000,1235820
Capital Expenditure,-3801000,-3801000,-3948000,-4554000,-4301688
Free Cash Flow,-2697000,-2697000,-1222000,425000,-3065868
