Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1395830,1418681,594278,698567
Depreciation & amortization,-,389527,373641,335568
Change in working capital,-,-581194,3468812,-3932959
Inventory,-,-1016080,-,-
Other working capital,-,1111781,4094616,-2836752
Other non-cash items,-,147275,21175,886551
Net cash provided by operating activites,-,1602300,4566484,-2555758
Investments in property plant and equipment,-,-490519,-471868,-280994
Purchases of investments,-,-230012,-83727,-124627
Sales/Maturities of investments,-,230176,60000,61000
Other investing activites,-,-2009,145425,-152169
Net cash used for investing activites,-,-539002,-341133,-515910
Net change in cash,-,215989,-114576,39159
Cash at beginning of period,-,2275478,2390054,2350894
Cash at end of period,-,2519656,2275478,2390054
Operating Cash Flow,-,1602300,4566484,-2555758
Capital Expenditure,-,-490519,-471868,-280994
Free Cash Flow,-,1111781,4094616,-2836752
