Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,592000,1744000,2388000,2944000
Depreciation & amortization,-,2618000,2394000,2501000
Change in working capital,-,-1807000,-2731000,5205000
Inventory,-,-2137000,-1185000,171000
Other working capital,-,-13219000,-1434000,11330000
Other non-cash items,-,-225000,-481000,-1708000
Net cash provided by operating activites,-,2504000,76000,12063000
Investments in property plant and equipment,-,-15723000,-1510000,-733000
Purchases of investments,-,-599000,-3002000,-1251000
Sales/Maturities of investments,-,1648000,800000,2090000
Other investing activites,-,-106000,364000,-484000
Net cash used for investing activites,-,-14780000,-3348000,-378000
Net change in cash,-,760000,-4415000,9299000
Cash at beginning of period,-,10346000,14761000,5462000
Cash at end of period,-,11107000,10346000,14761000
Operating Cash Flow,-,2504000,76000,12063000
Capital Expenditure,-,-15723000,-1510000,-733000
Free Cash Flow,-,-13219000,-1434000,11330000
