Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1341000,2589000,1476000,1467000
Depreciation & amortization,-,879000,773000,732000
Change in working capital,-,-936000,1599000,4063000
Inventory,-,-1462000,1338000,-10000
Other working capital,-,1119000,4414000,1669000
Other non-cash items,-,346000,934000,-2964000
Net cash provided by operating activites,-,2607000,6278000,3251000
Investments in property plant and equipment,-,-1488000,-1864000,-1582000
Acquisitions net,-,-107000,-1211000,-
Other investing activites,-,-1000,-1000,-
Net cash used for investing activites,-,-1596000,-3043000,-1581000
Net change in cash,-,-235000,1578000,943000
Cash at beginning of period,-,12436000,10857000,9914000
Cash at end of period,-,12201000,12436000,10857000
Operating Cash Flow,-,2607000,6278000,3251000
Capital Expenditure,-,-1488000,-1864000,-1582000
Free Cash Flow,-,1119000,4414000,1669000
