Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1431696,1743791,1699181
Liabilities,,,
Total Liabilities,435,612,623
Stockholders' Equity,,,
Common Stock,1246559,1317496,1317496
Retained Earnings,184702,425683,381062
Total stockholders' equity,1431261,1743179,1698558
Total liabilities and stockholders' equity,1431696,1743791,1699181
