Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5.029,-3.33,-1.911,-783.55,-284.55
Purchases of investments,-1869,-3537,-4238,-,-
Sales/Maturities of investments,3625,3972,2835,-,-
Net cash used for investing activites,1839,568.164,-1252,-607.415,-62.338
Net change in cash,485.303,-1160,-2950,-1658,-1405
Cash at beginning of period,1528,2361,5309,6971,8374
Cash at end of period,2014,1289,2361,5309,6971
Capital Expenditure,-5.029,-3.33,-1.911,-783.55,-284.55
Free Cash Flow,-2281,-1732,-1700,-1835,-1627
