Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,594658,716769,877253,851900
Depreciation & amortization,-,1291833,1211826,1113365
Change in working capital,-,-615268,279178,-253184
Inventory,-,-592996,278517,-163766
Other working capital,-,-520939,720820,24928
Other non-cash items,-,-292011,-14865,22780
Net cash provided by operating activites,-,895051,2161192,1657253
Investments in property plant and equipment,-,-1415990,-1440372,-1632325
Acquisitions net,-,-188700,-,-
Purchases of investments,-,-328258,-18044,-20536
Sales/Maturities of investments,-,683931,909800,197009
Other investing activites,-,11311,-45212,20585
Net cash used for investing activites,-,-1181847,-601085,-1427511
Net change in cash,-,-282843,527479,127464
Cash at beginning of period,-,3365716,2838237,2710773
Cash at end of period,-,3082873,3365716,2838237
Operating Cash Flow,-,895051,2161192,1657253
Capital Expenditure,-,-1415990,-1440372,-1632325
Free Cash Flow,-,-520939,720820,24928
