Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-118000,1884000,4249000,2991000
Depreciation & amortization,-,4533000,5266000,6133000
Change in working capital,-,4182000,-14141000,-911000
Inventory,-,6412000,-10164000,-6959000
Other working capital,-,4026000,-6734000,5666000
Other non-cash items,-,-1815000,-1847000,299000
Net cash provided by operating activites,-,7572000,-3887000,10444000
Investments in property plant and equipment,-,-3546000,-2847000,-4778000
Acquisitions net,-,-211000,-329000,-
Purchases of investments,-,-160000,-51000,-13000
Sales/Maturities of investments,-,-,50000,31000
Other investing activites,-,853000,584000,214000
Net cash used for investing activites,-,-3010000,-2363000,-4090000
Net change in cash,-,1753000,-8612000,3656000
Cash at beginning of period,-,16563000,25176000,21519000
Cash at end of period,-,18317000,16563000,25176000
Operating Cash Flow,-,7572000,-3887000,10444000
Capital Expenditure,-,-3546000,-2847000,-4778000
Free Cash Flow,-,4026000,-6734000,5666000
