Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-39.28,-82.14
Purchases of investments,-,-,-,-,-4000
Sales/Maturities of investments,-,-,-,4034,-
Other investing activites,-,-,-,-39,-
Net cash used for investing activites,-,-,-,3995,-4082
Debt repayment,-,-750,-720,-5.379,-20.831
Common stock issued,-,-,-,-,5174
Common stock repurchased,-,-,-,-,-586.223
Other financing activites,-,-3.525,-,-,-
Net cash used privided by (used for) financing activities,5312,1042,912,-5.379,4567
Net change in cash,3263,1.361,-475.102,96.274,-2125
Cash at beginning of period,9.992,41.811,516.913,420.639,2546
Cash at end of period,3273,43.172,41.811,516.913,420.639
Capital Expenditure,-,-,-,-39.28,-82.14
Free Cash Flow,-2049,-1041,-1387,-3932,-2693
