Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1086408,1039089,770321,85511
Depreciation & amortization,-,587803,494568,526088
Change in working capital,-,-297139,-443269,486608
Inventory,-,-529941,28593,246469
Other working capital,-,138020,821433,953248
Other non-cash items,-,23074,18507,-38416
Net cash provided by operating activites,-,599267,1118978,1489251
Investments in property plant and equipment,-,-461247,-297545,-536003
Purchases of investments,-,-2678987,-112894,-188425
Sales/Maturities of investments,-,2259936,-,-
Other investing activites,-,-42625,-111358,21212
Net cash used for investing activites,-,-282974,-474189,-501757
Net change in cash,-,-621968,209896,1251401
Cash at beginning of period,-,9043523,8833626,7582224
Cash at end of period,-,8421555,9043523,8833626
Operating Cash Flow,-,599267,1118978,1489251
Capital Expenditure,-,-461247,-297545,-536003
Free Cash Flow,-,138020,821433,953248
