Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1049587,1049587,977950,820078,700594
Interest Expense,385592,385592,249333,117971,63594
Income Before Tax,407161,407161,380788,325708,241197
Income Tax Expense,84295,84295,79964,128645,86078
Income from Continuing Operations,322866,322866,300824,197063,155119
Net Income,322866,322866,300824,197063,155119
Net Income available to common shareholders,313116,313116,291074,187313,145369
