Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-60.314,-60.314,-68.96,-141.839,-692.545
Sales/Maturities of investments,-,-,-,8.802,589.646
Other investing activites,28.543,28.543,26.428,-35.363,-115.223
Net cash used for investing activites,-31.771,-31.771,-42.532,-168.4,-218.122
Debt repayment,-,-,-1381,-,-
Common stock issued,-,-,-,2514,-
Common stock repurchased,-,-,-,-22.154,-61.184
Net cash used privided by (used for) financing activities,641.691,641.691,-1238,2692,84.874
Net change in cash,-1.601,-1.601,-2199,2192,-259.563
Cash at beginning of period,64.693,64.693,2264,72.245,331.808
Cash at end of period,63.092,63.092,64.693,2264,72.245
Capital Expenditure,-60.314,-60.314,-68.96,-141.839,-692.545
Free Cash Flow,-671.835,-671.835,-987.709,-473.722,-818.86
