Breakdown,ttm,6/30/2019
Net Income,0,12937
Other working capital,0,-2664
Net cash provided by operating activites,0,-
Acquisitions net,0,-
Purchases of investments,0,-115172
Sales/Maturities of investments,0,126867
Net cash used for investing activites,0,11695
Debt repayment,0,-
Common stock issued,0,7739
Common stock repurchased,-43745,-10959
Dividends Paid,0,-4970
Net cash used privided by (used for) financing activities,-43745,-8189
Net change in cash,-16210,841.619
Cash at beginning of period,0,26857
Cash at end of period,0,28991
Operating Cash Flow,0,-
Free Cash Flow,0,-2664
