Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-2.5,-18505
Other investing activites,-,-,-,-,9724
Net cash used for investing activites,-,-,58.374,26.51,-8781
Common stock issued,12000,3692,6044,-,1500
Common stock repurchased,-777.804,-67.823,-15.582,-0.1,-6.387
Other financing activites,-,51.087,101.346,1766,-3696
Net cash used privided by (used for) financing activities,11222,3675,6130,1766,-2202
Net change in cash,5975,219.41,775.177,-4735,-3487
Cash at beginning of period,6627,6137,5361,10097,13583
Cash at end of period,12602,6356,6137,5361,10097
Capital Expenditure,-,-,-,-2.5,-18505
Free Cash Flow,-5251,-3456,-5413,-6530,-11008
