Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5064000,7077000,2941000,3635000
Depreciation & amortization,-,26218000,25983000,13162000
Change in working capital,-,-11805000,1771000,11060000
Inventory,-,-2158000,-4792000,4141000
Other working capital,-,4081000,13383000,20179000
Other non-cash items,-,1352000,1778000,2855000
Net cash provided by operating activites,-,21925000,30789000,32613000
Investments in property plant and equipment,-,-17844000,-17406000,-12434000
Acquisitions net,-,-,-,-66547000
Purchases of investments,-,-26000,-30000,-16000
Sales/Maturities of investments,-,50000,409000,30000
Other investing activites,-,3129000,-12393000,-5508000
Net cash used for investing activites,-,-6862000,-29047000,-84011000
Net change in cash,-,-1278000,-4868000,9136000
Cash at beginning of period,-,14549000,19418000,10282000
Cash at end of period,-,13273000,14549000,19418000
Operating Cash Flow,-,21925000,30789000,32613000
Capital Expenditure,-,-17844000,-17406000,-12434000
Free Cash Flow,-,4081000,13383000,20179000
