Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-84700,-84700,-49300,-35300,-46600
Depreciation & amortization,14900,14900,8200,6800,4200
Stock based compensation,7700,7700,8100,4400,6700
Change in working capital,-8800,-8800,-500,1600,-3700
Other working capital,-44200,-44200,-41800,-34600,-51300
Other non-cash items,9100,9100,5900,-,-
Net cash provided by operating activites,-27000,-27000,-28500,-22600,-40000
Investments in property plant and equipment,-17200,-17200,-13300,-12000,-11300
Acquisitions net,-13900,-13900,-,-,-
Purchases of investments,-797200,-797200,-1100,-1300,4600
Sales/Maturities of investments,74600,74600,-,-,-
Other investing activites,-,-,-,-,4600
Net cash used for investing activites,-751800,-751800,-13500,-12700,-6100
Net change in cash,-166400,-166400,243600,46600,-46100
Cash at beginning of period,333000,333000,88900,43300,86300
Cash at end of period,164500,164500,333000,88900,43300
Operating Cash Flow,-27000,-27000,-28500,-22600,-40000
Capital Expenditure,-17200,-17200,-13300,-12000,-11300
Free Cash Flow,-44200,-44200,-41800,-34600,-51300
