Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,169965,64550,185832,104116
Depreciation & amortization,-,82103,65466,41361
Change in working capital,-,123612,137700,-78558
Inventory,-,5013,-17951,821
Other working capital,-,-36600,109926,37740
Other non-cash items,-,7198,-16747,29088
Net cash provided by operating activites,-,153675,321044,120870
Investments in property plant and equipment,-,-190275,-211118,-83130
Acquisitions net,-,-,-32442,-28817
Purchases of investments,-,-,-10000,-
Sales/Maturities of investments,-,13098,0,10
Other investing activites,-,-21415,-66373,36977
Net cash used for investing activites,-,-167930,-248144,-65423
Net change in cash,-,24687,-36166,285645
Cash at beginning of period,-,405257,441424,155778
Cash at end of period,-,429944,405257,441424
Operating Cash Flow,-,153675,321044,120870
Capital Expenditure,-,-190275,-211118,-83130
Free Cash Flow,-,-36600,109926,37740
