Breakdown,ttm,3/31/2019,3/31/2018
Net Income,745000,745000,434000
Depreciation & amortization,653000,653000,574000
Change in working capital,-222000,-222000,-579000
Inventory,-12000,-12000,-166000
Other working capital,1975000,1975000,380000
Other non-cash items,11000,11000,6000
Net cash provided by operating activites,1975000,1975000,380000
Other investing activites,-1700000,-1700000,-3704000
Net cash used for investing activites,-1700000,-1700000,-3704000
Net change in cash,713000,713000,-985000
Cash at beginning of period,1127000,1127000,2113000
Cash at end of period,1840000,1840000,1127000
Operating Cash Flow,1975000,1975000,380000
Free Cash Flow,1975000,1975000,380000
