Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,15137,13907,14651,11783,8626
Income Before Tax,12090,10824,11659,9222,6468
Income Tax Expense,1101,1437,514.763,724.754,749.607
Income from Continuing Operations,10989,9388,11144,8497,5718
Net Income,10989,9388,11144,8497,5718
Net Income available to common shareholders,10989,9388,11144,8497,5718
Basic EPS,-,0.03,0.04,0.04,0.03
Diluted EPS,-,0.03,0.04,0.04,0.03
Basic Average Shares,-,275945,275273,235280,206797
Diluted Average Shares,-,275945,275273,235280,206797
