Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2443,-2443,-3,-3,-1
Purchases of investments,-6564,-6564,-5346,-5520,-1509
Sales/Maturities of investments,53052,53052,19149,-,-
Other investing activites,-767,-767,-1086,-,-
Net cash used for investing activites,43282,43282,12714,-5523,-1510
Debt repayment,-5250,-5250,-5485,-,-11703
Common stock issued,3905,3905,-,231,450
Dividends Paid,-1841,-1841,-5393,-1667,-1547
Other financing activites,-2,-2,-253,-60,-135
Net cash used privided by (used for) financing activities,-3188,-3188,-11086,-1496,-11076
Net change in cash,41076,41076,-4552,-6327,11011
Cash at beginning of period,4500,4500,9052,15749,4738
Cash at end of period,45576,45576,4500,9422,15749
Capital Expenditure,-2443,-2443,-3,-3,-1
Free Cash Flow,-1461,-1461,-6183,689,23596
