Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1631858,1432650,1288927,1100063
Liabilities,,,,
Total Liabilities,1415134,1264042,1153812,992802
Stockholders' Equity,,,,
Common Stock,255,121,120.375,118.213
Retained Earnings,162616,128555,96525,70068
Accumulated other comprehensive income,-1,-104,-68.434,-61.905
Total stockholders' equity,216724,168608,135115,107261
Total liabilities and stockholders' equity,1631858,1432650,1288927,1100063
