Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,285131,10575,183926,157317
Depreciation & amortization,-,189742,172859,116091
Change in working capital,-,101615,-159147,53424
Inventory,-,-3383,-631,21001
Other working capital,-,152620,-130765,57699
Other non-cash items,-,25432,-10163,-48702
Net cash provided by operating activites,-,380131,141438,281270
Investments in property plant and equipment,-,-227511,-272203,-223571
Acquisitions net,-,-7800,-202840,-
Purchases of investments,-,-390,0,-160280
Sales/Maturities of investments,-,180000,0,87333
Other investing activites,-,-3960,36940,139269
Net cash used for investing activites,-,-9229,-462017,-177249
Net change in cash,-,259565,-304565,133339
Cash at beginning of period,-,427024,731589,598249
Cash at end of period,-,686589,427024,731589
Operating Cash Flow,-,380131,141438,281270
Capital Expenditure,-,-227511,-272203,-223571
Free Cash Flow,-,152620,-130765,57699
