Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,4700000,4700000,4968000,5209000,4540000
Depreciation & amortization,1713000,1713000,1761000,1645000,1784000
Change in working capital,-684000,-684000,436000,290000,-51000
Inventory,-268000,-268000,-339000,-151000,3000
Other working capital,5055000,5055000,5497000,5406000,4943000
Other non-cash items,656000,656000,-232000,-247000,505000
Net cash provided by operating activites,6599000,6599000,6742000,6873000,6597000
Investments in property plant and equipment,-1544000,-1544000,-1245000,-1467000,-1654000
Acquisitions net,-,-,-28000,-,-
Purchases of investments,-7660000,-7660000,-8404000,-6131000,-10230000
Sales/Maturities of investments,5000000,5000000,5046000,8003000,7601000
Other investing activites,61000,61000,-89000,11000,7000
Net cash used for investing activites,-4136000,-4136000,-4705000,452000,-4144000
Net change in cash,-873000,-873000,-47000,6328000,1448000
Cash at beginning of period,19181000,19181000,19228000,12900000,11451000
Cash at end of period,18307000,18307000,19181000,19228000,12900000
Operating Cash Flow,6599000,6599000,6742000,6873000,6597000
Capital Expenditure,-1544000,-1544000,-1245000,-1467000,-1654000
Free Cash Flow,5055000,5055000,5497000,5406000,4943000
