Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-25923,-25923,-6312,-6230,-2949
Purchases of investments,-,-,-,10585,-23628
Sales/Maturities of investments,-167879,-167879,-58745,22695,-
Net cash used for investing activites,-193795,-193795,-56678,4354,-26537
Dividends Paid,-15210,-15210,-13802,-9757,-12483
Net cash used privided by (used for) financing activities,-15210,-15210,-13802,-9757,-12483
Net change in cash,56417,56417,21769,-30240,-24821
Cash at beginning of period,67294,67294,43138,70637,102412
Cash at end of period,124765,124765,67597,40677,77498
Capital Expenditure,-25923,-25923,-6312,-6230,-2949
Free Cash Flow,239500,239500,85938,-31068,11249
