Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-355492,-355492,-222402,107462,-239149
Depreciation & amortization,-,-,233670,197135,223775
Change in working capital,-,-,666358,-427912,43138
Inventory,-,-,28542,271690,-58404
Other working capital,410143,410143,570215,-116045,95629
Other non-cash items,-,-,130396,112558,111276
Net cash provided by operating activites,410143,410143,921479,10749,237036
Investments in property plant and equipment,-,-,-351264,-126794,-141407
Acquisitions net,-,-,-1800,-2694,-112
Purchases of investments,-,-,0,-2430,-
Sales/Maturities of investments,-,-,-,0,125705
Net cash used for investing activites,-181764,-181764,-275932,-78486,-5944
Net change in cash,147730,147730,44668,-97942,93404
Cash at beginning of period,239712,239712,191185,293628,193953
Cash at end of period,396854,396854,239712,191185,293628
Operating Cash Flow,410143,410143,921479,10749,237036
Capital Expenditure,-,-,-351264,-126794,-141407
Free Cash Flow,410143,410143,570215,-116045,95629
