Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,251804,228126,167917,30623
Depreciation & amortization,-,120315,127313,144450
Change in working capital,-,69531,63489,15252
Inventory,-,6333,6623,-1115
Other working capital,-,396765,149953,246954
Other non-cash items,-,43199,-29563,76015
Net cash provided by operating activites,-,472099,365551,290473
Investments in property plant and equipment,-,-75334,-215598,-43519
Purchases of investments,-,-60597,-53618,-143407
Sales/Maturities of investments,-,77000,17175,171867
Other investing activites,-,-1,1000,-
Net cash used for investing activites,-,79,-251041,-15059
Net change in cash,-,-10040,-18630,9207
Cash at beginning of period,-,143145,161776,152568
Cash at end of period,-,133104,143145,161776
Operating Cash Flow,-,472099,365551,290473
Capital Expenditure,-,-75334,-215598,-43519
Free Cash Flow,-,396765,149953,246954
