Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,12947000,12596000,10870000,9360000
Depreciation & amortization,16324000,11323000,11938000,12337000
Change in working capital,-1962000,954000,3308000,2060000
Inventory,-1116000,913000,514000,-499000
Other working capital,15809000,18883000,22469000,16333000
Other non-cash items,1041000,27000,566000,1110000
Net cash provided by operating activites,29095000,27493000,27588000,26588000
Investments in property plant and equipment,-13286000,-8610000,-5119000,-10255000
Acquisitions net,-,-,-,0
Purchases of investments,-,-,-,-1000
Sales/Maturities of investments,-,2762000,105000,3394000
Other investing activites,-151000,-45000,223000,-54000
Net cash used for investing activites,-10261000,-5292000,-4182000,-6284000
Net change in cash,3219000,7004000,-7966000,20365000
Cash at beginning of period,44921000,40533000,48499000,28134000
Cash at end of period,48434000,47537000,40533000,48499000
Operating Cash Flow,29095000,27493000,27588000,26588000
Capital Expenditure,-13286000,-8610000,-5119000,-10255000
Free Cash Flow,15809000,18883000,22469000,16333000
