Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,6333,6333,5405,90514,31273
Depreciation & amortization,15452,15452,14474,11472,10852
Stock based compensation,643,643,490,229,21
Change in working capital,8252,8252,-13101,-9041,-5977
Inventory,1811,1811,-2421,4586,-5435
Other working capital,-15250,-15250,-15250,-8810,-3959
Net cash provided by operating activites,32002,32002,16629,20723,22888
Investments in property plant and equipment,-47252,-47252,-31879,-29533,-26847
Acquisitions net,0,0,-49167,-39589,-
Sales/Maturities of investments,6032,6032,-,-,-
Net cash used for investing activites,-52268,-52268,-80019,32861,53896
Net change in cash,4003,4003,-91542,22704,66161
Cash at beginning of period,21626,21626,113910,91405,25811
Cash at end of period,25947,25947,21626,113910,91405
Operating Cash Flow,32002,32002,16629,20723,22888
Capital Expenditure,-47252,-47252,-31879,-29533,-26847
Free Cash Flow,-15250,-15250,-15250,-8810,-3959
