Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,153000,153000,2523000,1882000
Depreciation & amortization,-,2309000,2078000,2031000
Change in working capital,-,435000,-451000,-2076000
Inventory,-,-123000,-1114000,611000
Other working capital,-,-193000,1224000,1925000
Other non-cash items,-,381000,268000,68000
Net cash provided by operating activites,-,3247000,4202000,3491000
Investments in property plant and equipment,-,-3440000,-2978000,-1566000
Acquisitions net,-,-122000,-409000,-
Purchases of investments,-,-16000,-17000,-1387000
Sales/Maturities of investments,-,14000,-,678000
Other investing activites,-,-488000,-237000,-207000
Net cash used for investing activites,-,-4029000,-3475000,-100000
Net change in cash,-,-1068000,874000,-1424000
Cash at beginning of period,-,4352000,3144000,4569000
Cash at end of period,-,3308000,4352000,3144000
Operating Cash Flow,-,3247000,4202000,3491000
Capital Expenditure,-,-3440000,-2978000,-1566000
Free Cash Flow,-,-193000,1224000,1925000
